国,中文名,类型,父级,状态,拼音,英文名,组序号,ID,type,parent,max_above,state,配置,产出,,,,
楚,江,村庄,城阳,未放置,Jiāng,Jiang1,1,t.v.chu4.1,village,25,0,chu,,丝绸,,,,
楚,安阳,村庄,城阳,未放置,Ānyáng,An1 Yang2,2,t.v.chu4.2,village,25,1,chu,,陶器,,,,
楚,弋阳,邑,,未放置,Yìyáng,Yi4 Yang2,4,f.chu4,fort,,3,chu,,,,,,
楚,期思,村庄,弋阳,未放置,Qīsī,Qi1 Si1,1,f.v.chu4.1,village,28,0,chu,,陶器,,,,
楚,雩娄,村庄,弋阳,未放置,Yúlóu,Yu2 Lou2,2,f.v.chu4.2,village,28,1,chu,,金,,,,
楚,东陵,村庄,弋阳,未放置,Dōnglíng,Dong1 Ling2,3,f.v.chu4.3,village,28,2,chu,,葛麻,,,,
楚,邾邑,邑,,未放置,Zhūyì,Zhu1 Yi4,5,f.chu5,fort,,4,chu,,,,,,
楚,安陆,村庄,邾邑,未放置,Ānlù,An1 Lu4,1,f.v.chu5.1,village,32,0,chu,,羊,,,,
楚,邾,村庄,邾邑,未放置,Zhū,Zhu1,2,f.v.chu5.2,village,32,1,chu,,牛,,,,
楚,武州,城邑,,未放置,Wǔzhōu,Wu3 Zhou1,5,t.chu5,town,,4,chu,,,,,,
楚,沙羡,村庄,武州,未放置,Shāxiàn,Sha1 Xian4,1,t.v.chu5.1,village,35,0,chu,,丝绸,,,,
楚,州,村庄,武州,未放置,Zhōu,Zhou1,2,t.v.chu5.2,village,35,1,chu,,马,,,,
楚,长沙,城邑,,未放置,Chángshā,Chang2 Sha1,6,t.chu6,town,,5,chu,,,,,,
楚,青阳,村庄,长沙,未放置,Qīngyáng,Qing1 Yang2,1,t.v.chu6.1,village,38,0,chu,,猪,,,,
楚,高蔡,村庄,长沙,未放置,Gāocài,Gao1 Cai4,2,t.v.chu6.2,village,38,1,chu,,面粉,,,,
楚,益阳,村庄,长沙,未放置,Yìyáng,Yi4 Yang2,3,t.v.chu6.3,village,38,2,chu,,牛,,,,
楚,鄡阳,邑,,未放置,Qiāoyáng,Qiao1 Yang2,6,f.chu6,fort,,5,chu,,,,,,
楚,彭泽,村庄,鄡阳,未放置,Péngzé,Peng2 Ze2,1,f.v.chu6.1,village,42,0,chu,,盐,,,,
楚,敷浅原,村庄,鄡阳,未放置,Fūqiǎnyuán,Fu1 Qian3 Yuan2,2,f.v.chu6.2,village,42,1,chu,,面粉,,,,
楚,番,村庄,鄡阳,未放置,Pó,Po2,3,f.v.chu6.3,village,42,2,chu,,葛麻,,,,
楚,松阳,城邑,,未放置,Sōngyáng,Song1 Yang2,7,t.chu7,town,,6,chu,,,,,,
楚,宗,村庄,松阳,未放置,Zōng,Zong1,1,t.v.chu7.1,village,46,0,chu,,丝绸,,,,
楚,皖,村庄,松阳,未放置,Wǎn,Wan3,2,t.v.chu7.2,village,46,1,chu,,面粉,,,,
楚,居巢,邑,,未放置,Jūcháo,Ju1 Chao2,7,f.chu7,fort,,6,chu,,,,,,
楚,昭关,村庄,居巢,未放置,Zhāoguān,Zhao1 Guan1,1,f.v.chu7.1,village,49,0,chu,,粟,,,,
楚,灊,村庄,居巢,未放置,Qián,Qian2,2,f.v.chu7.2,village,49,1,chu,,矿石,,,,
楚,寿春,城邑,,未放置,Shòuchūn,Shou4 Chun1,8,t.chu8,town,,7,chu,,,,,,
楚,平阿,村庄,寿春,未放置,Píng'ā,Ping2 A1,1,t.v.chu8.1,village,52,0,chu,,丝绸,,,,
楚,棘门,村庄,寿春,未放置,Jímén,Ji2 Men2,2,t.v.chu8.2,village,52,1,chu,,葛麻,,,,
楚,巨阳,城邑,,未放置,Jùyáng,Ju4 Yang2,9,t.chu9,town,,8,chu,,,,,,
楚,山桑,村庄,巨阳,未放置,Shānsāng,Shan1 Sang1,1,t.v.chu9.1,village,55,0,chu,,金,,,,
楚,胡,村庄,巨阳,未放置,Hú,Hu2,2,t.v.chu9.2,village,55,1,chu,,陶器,,,,
楚,宛丘,城邑,,未放置,Wǎnqiū,Wan3 Qiu1,10,t.chu10,town,,9,chu,,,,,,
楚,苦,村庄,宛丘,未放置,Kǔ,Ku3,1,t.v.chu10.1,village,58,0,chu,,牛,,,,
楚,城父,村庄,宛丘,未放置,Chéngfù,Cheng2 Fu4,2,t.v.chu10.2,village,58,1,chu,,面粉,,,,
楚,项,邑,,未放置,Xiàng,Xiang4,8,f.chu8,fort,,7,chu,,,,,,
楚,陈,村庄,项,未放置,Chén,Chen2,1,f.v.chu8.1,village,61,0,chu,,粟,,,,
楚,新阳,村庄,项,未放置,Xīnyáng,Xin1 Yang2,2,f.v.chu8.2,village,61,1,chu,,矿石,,,,
